use_ff_moe = False
use_conv_moe_b3 = False
use_conv_moe_b7 = False
num_expert = 8
moe_top_k = 2

lr = 0.1
weight_decay = 5e-5
num_epochs = 180
momentum = 0.9
gamma = 0.1
milestones = [100, 150]
batch_size = 128
resize = 32

Files already downloaded and verified
training on cuda:0
epoch  0, loss 2.048, train acc 0.271, test acc 0.410
epoch  1, loss 1.491, train acc 0.450, test acc 0.510
epoch  2, loss 1.224, train acc 0.558, test acc 0.571
epoch  3, loss 1.019, train acc 0.636, test acc 0.666
epoch  4, loss 0.876, train acc 0.692, test acc 0.718
epoch  5, loss 0.763, train acc 0.732, test acc 0.750
epoch  6, loss 0.657, train acc 0.772, test acc 0.769
epoch  7, loss 0.583, train acc 0.798, test acc 0.789
epoch  8, loss 0.525, train acc 0.818, test acc 0.817
epoch  9, loss 0.483, train acc 0.832, test acc 0.821
epoch 10, loss 0.442, train acc 0.845, test acc 0.820
epoch 11, loss 0.409, train acc 0.858, test acc 0.842
epoch 12, loss 0.381, train acc 0.868, test acc 0.853
epoch 13, loss 0.356, train acc 0.875, test acc 0.856
epoch 14, loss 0.332, train acc 0.885, test acc 0.853
epoch 15, loss 0.312, train acc 0.890, test acc 0.853
epoch 16, loss 0.295, train acc 0.896, test acc 0.872
epoch 17, loss 0.275, train acc 0.903, test acc 0.869
epoch 18, loss 0.267, train acc 0.906, test acc 0.868
epoch 19, loss 0.248, train acc 0.911, test acc 0.878
epoch 20, loss 0.235, train acc 0.918, test acc 0.886
epoch 21, loss 0.221, train acc 0.922, test acc 0.864
epoch 22, loss 0.209, train acc 0.927, test acc 0.873
epoch 23, loss 0.197, train acc 0.931, test acc 0.874
epoch 24, loss 0.188, train acc 0.934, test acc 0.883
epoch 25, loss 0.185, train acc 0.935, test acc 0.874
epoch 26, loss 0.172, train acc 0.940, test acc 0.883
epoch 27, loss 0.166, train acc 0.941, test acc 0.889
epoch 28, loss 0.157, train acc 0.945, test acc 0.885
epoch 29, loss 0.154, train acc 0.946, test acc 0.894
epoch 30, loss 0.148, train acc 0.949, test acc 0.896
epoch 31, loss 0.135, train acc 0.952, test acc 0.896
epoch 32, loss 0.135, train acc 0.951, test acc 0.893
epoch 33, loss 0.131, train acc 0.954, test acc 0.889
